,year,weeknum,province,new_case,total_case,new_case_excludeabroad,total_case_excludeabroad,new_death,total_death,update_date
0,2021,52,ศรีสะเกษ,12,12,12,12,0,0,2023-06-19 12:07:27
1,2021,52,ประจวบคีรีขันธ์,37,37,35,35,0,0,2023-06-19 12:07:27
2,2021,52,สุโขทัย,2,2,2,2,0,0,2023-06-19 12:07:27
3,2021,52,สระบุรี,29,29,29,29,0,0,2023-06-19 12:07:27
4,2021,52,ตาก,18,18,16,16,0,0,2023-06-19 12:07:27
5,2021,52,ลำพูน,9,9,9,9,0,0,2023-06-19 12:07:27
6,2021,52,ยโสธร,10,10,10,10,0,0,2023-06-19 12:07:27
7,2021,52,เชียงราย,20,20,20,20,0,0,2023-06-19 12:07:27
8,2021,52,นนทบุรี,42,42,41,41,0,0,2023-06-19 12:07:27
9,2021,52,เลย,20,20,20,20,0,0,2023-06-19 12:07:27
10,2021,52,ไม่ระบุ,0,0,0,0,0,0,2023-06-19 12:07:27
11,2021,52,กระบี่,35,35,31,31,1,1,2023-06-19 12:07:27
12,2021,52,มุกดาหาร,10,10,10,10,0,0,2023-06-19 12:07:27
13,2021,52,อำนาจเจริญ,21,21,21,21,0,0,2023-06-19 12:07:27
14,2021,52,เพชรบุรี,8,8,8,8,0,0,2023-06-19 12:07:27
15,2021,52,สมุทรสาคร,11,11,11,11,0,0,2023-06-19 12:07:27
16,2021,52,ราชบุรี,21,21,21,21,0,0,2023-06-19 12:07:27
17,2021,52,อุตรดิตถ์,4,4,4,4,0,0,2023-06-19 12:07:27
18,2021,52,ชลบุรี,308,308,289,289,0,0,2023-06-19 12:07:27
19,2021,52,นครพนม,7,7,7,7,0,0,2023-06-19 12:07:27
20,2021,52,พัทลุง,50,50,50,50,0,0,2023-06-19 12:07:27
21,2021,52,อุดรธานี,78,78,78,78,0,0,2023-06-19 12:07:27
22,2021,52,สุราษฎร์ธานี,43,43,38,38,1,1,2023-06-19 12:07:27
23,2021,52,นครนายก,14,14,14,14,0,0,2023-06-19 12:07:27
24,2021,52,ภูเก็ต,102,102,64,64,0,0,2023-06-19 12:07:27
25,2021,52,อุบลราชธานี,254,254,254,254,0,0,2023-06-19 12:07:27
26,2021,52,ระนอง,1,1,1,1,0,0,2023-06-19 12:07:27
27,2021,52,นครสวรรค์,26,26,26,26,1,1,2023-06-19 12:07:27
28,2021,52,สระแก้ว,13,13,13,13,0,0,2023-06-19 12:07:27
29,2021,52,สมุทรสงคราม,5,5,5,5,0,0,2023-06-19 12:07:27
30,2021,52,ระยอง,59,59,59,59,0,0,2023-06-19 12:07:27
31,2021,52,ตราด,4,4,3,3,0,0,2023-06-19 12:07:27
32,2021,52,สตูล,14,14,14,14,1,1,2023-06-19 12:07:27
33,2021,52,สุรินทร์,10,10,10,10,0,0,2023-06-19 12:07:27
34,2021,52,พะเยา,6,6,6,6,0,0,2023-06-19 12:07:27
35,2021,52,สงขลา,51,51,51,51,0,0,2023-06-19 12:07:27
36,2021,52,ลำปาง,32,32,31,31,0,0,2023-06-19 12:07:27
37,2021,52,ชัยนาท,3,3,3,3,0,0,2023-06-19 12:07:27
38,2021,52,ขอนแก่น,99,99,99,99,0,0,2023-06-19 12:07:27
39,2021,52,ยะลา,14,14,14,14,0,0,2023-06-19 12:07:27
40,2021,52,จันทบุรี,15,15,15,15,0,0,2023-06-19 12:07:27
41,2021,52,พังงา,34,34,24,24,1,1,2023-06-19 12:07:27
42,2021,52,บุรีรัมย์,26,26,26,26,0,0,2023-06-19 12:07:27
43,2021,52,แม่ฮ่องสอน,17,17,17,17,0,0,2023-06-19 12:07:27
44,2021,52,ตรัง,47,47,47,47,2,2,2023-06-19 12:07:27
45,2021,52,น่าน,18,18,18,18,0,0,2023-06-19 12:07:27
46,2021,52,ปราจีนบุรี,17,17,17,17,0,0,2023-06-19 12:07:27
47,2021,52,นครปฐม,18,18,18,18,0,0,2023-06-19 12:07:27
48,2021,52,อุทัยธานี,2,2,2,2,0,0,2023-06-19 12:07:27
49,2021,52,ปัตตานี,15,15,15,15,0,0,2023-06-19 12:07:27
50,2021,52,เชียงใหม่,72,72,69,69,0,0,2023-06-19 12:07:27
51,2021,52,สุพรรณบุรี,2,2,2,2,0,0,2023-06-19 12:07:27
52,2021,52,กาญจนบุรี,28,28,27,27,0,0,2023-06-19 12:07:27
53,2021,52,ฉะเชิงเทรา,26,26,26,26,0,0,2023-06-19 12:07:27
54,2021,52,หนองบัวลำภู,3,3,3,3,0,0,2023-06-19 12:07:27
55,2021,52,กรุงเทพมหานคร,454,454,408,408,1,1,2023-06-19 12:07:27
56,2021,52,นครศรีธรรมราช,161,161,161,161,0,0,2023-06-19 12:07:27
57,2021,52,เพชรบูรณ์,20,20,20,20,0,0,2023-06-19 12:07:27
58,2021,52,สิงห์บุรี,2,2,2,2,0,0,2023-06-19 12:07:27
59,2021,52,กาฬสินธุ์,55,55,55,55,0,0,2023-06-19 12:07:27
60,2021,52,ปทุมธานี,45,45,45,45,0,0,2023-06-19 12:07:27
61,2021,52,พิจิตร,2,2,2,2,0,0,2023-06-19 12:07:27
62,2021,52,พิษณุโลก,46,46,46,46,0,0,2023-06-19 12:07:27
